Bajirri  	[Ba-jirri] nominal. spring water on Mt Pierre Station. Category: Placenames and Country.
Birrirdinyman  	[Birrirdiny-man] nominal. big wide creek on GoGo Station.  [TC] Category: Placenames and Country.
Birrirnali  	[Birri-nali] nominal. waterhole on Margaret River Station.  [MS] Category: Placenames and Country.
Biyanybarn  	[Bi-yany-barn] nominal. long hole billabong on GoGo station, past Chestnut Bore.  [TC] Category: Placenames and Country.
Boogawooga  	[Booga-wooga] nominal. springwater on Louisa Downs Station.  [MS] Category: Placenames and Country.
Boolawa  	[Boola-wa] nominal. hill on GoGo Station near double A bore. Category: Placenames and Country.
Boolga  	[Bool-ga] nominal. 1 • place on Bulka Station from which the Station got its name.
2 • old man, grey hair. Category: people, Placenames and Country.
Boonawoona  	[Boona-woona] nominal. old Louisa Yard on Mt Pierre Station.  [RC] Category: Placenames and Country.
Boonboonoongwarni  	[Boon-boo-noong-warni] nominal. waterhole on the Garloo section of the Fitzroy River on GoGo Station.  [TC] Category: Placenames and Country.
Boondoo  	[Boon-doo] nominal. place on Mt Pierre Station.  [TC, RC] Category: Placenames and Country.
Boondoongi  	[Boondoo-ngi] nominal. long waterhole on the Muludja road on GoGo Station.  [RC, SL] Category: Placenames and Country.
Boorlarrayanganyi  	[Boorla-rraya-nga-nyi] nominal. Blue Bush Creek  on GoGo Station.  [RC] Category: Placenames and Country.
Boorlgoongga  	[Boorl-goong-ga] nominal. hill behind Larrajirri range on Louisa Downs Station.  [MS] Category: Placenames and Country.
Boorloowarn  	[Boorloo-warn] nominal. water hole on the anabranch on Fossil Down Station. Category: Placenames and Country.
Boorroo  	[Boo-rroo] nominal. creek on Louisa Downs Station.  [MS] Category: Placenames and Country.
Booyila  	[Boo-yila] nominal. waterhole on Margaret River Station.  [MS] Category: Placenames and Country.
baa  	verb. shout, call. Gambayiga baarani nhooyoo tharra. The boy is calling out to his dog. Category: actions.
baabirri  	[baa-birri] adverb. inside, below,  under, underneath. Wawanyi bagiyi baabirri goorrgooya. The goanna was lying inside a hole. Category: space.
baardi  	nominal. cup, billycan, pannikin. Ngangbidi niyaji baardi gamba doowooyawila. Give me that cup I'll get water. Category: introduced items.
baarndi  	nominal. spider. Baarndiga ngaragmi yoowoorroo girili jwirljidiya. The spider made a web on a bauhinia tree. Category: insects and spiders.
babinji  	[babin-ji] nominal. murderer. Babinyji yoowooloo wardji gimanhingi. A murderer man came from a long way away. Category: people.
babirnali  	[babirn-ali] adverb. coming up from below, moving upwards. See: thaanoogoo. Wawanyi bijngarni babirnali gambayangga. The goanna came up from under the water. Category: space.
baboorroo  	[ba-boorroo] adverb. down, below.  [TC,ET, NT] Category: space.
baboorroonggoo  	[baboorroong-goo] adverb. downward, going or moving downward. Wawanyi diribbindi baboorroonggoo goorrgooya. The goanna went down into the hole. Category: space.
badjangga  	[bad-jang-ga] adverb. quickly. Badjangga wardbiri mirnaloogoo. Come quickly this way. Category: describers.
baga  	nominal. sharp spike, bindi eye. Girili briyalingga warangga  baga. The conkerberry bush has sharp spikes. Note: A general word for all spikes. Category: plants.
bagi  	verb. lie down. Lambardi booga bagiyi mooyoo. A little child was lying asleep. Ques: mismatch between \ge and \xe Category: actions, check.
bajgi  	[baj-gi] verb. start to go. Ginyandi boolga thithi bajgiwindi, ngirndajinhingi. That old man started to go from here. Ques: Is comma req'd in lg. Category: actions, check.
bala  	verb. send. Ngamoo nhingi yoowooloongga balajiwirra maa marriyaliyoo. In the old days, men used to send meat for their mothers-in-law. Category: holding and transfer.
balajgarri  	[balaj-garri] nominal. big mob, crowd, a lot of. Balajgarri yoowooloo girnajbirri, ngalanybirra joonba. A lot of men were sitting around, singing corroborree. Category: people.
balara  	[ba-la-ra] nominal. crested pigeon. Ocyphaps lophotes. Ngamoo yoowooloongga gardbiwirra balara ngabgoo. In the olden days men use to kill crested pigeon for eating. Category: birds.
balarndi  	[balarn-di] nominal.  This shrubby tree is a good shady tree. It has big round seeds and people collect them to make necklaces out of it. Also you can find sugarbag in them.  [Plants of the Kimberley 149] Category: trees.
balbirr  	[bal-birr] verb. return of many people. Garndiwangoorroo yoowooloo balbirrwinmi joonbanhingi. A lot of men returned from the corroboree. Category: actions.
balinyjirri  	[ba-liny-jirri] nominal. red-winged parrot. Aprosmictus erythropterus. Category: birds.
baljadi  	[bal-jadi] nominal. flat stone for grinding seeds to make a dough. Joomboowa wirrwirra baljadiya ngaari. They used to grind joomboowa seed on a flat stone. See: barlarli; goordoo. Category: artifacts.
baljarrangoo  	[bal -jarrangoo] nominal. returning boomerang. Category: artifacts.
baljoowa  	[bal-joowa] nominal. behind. Nganyingga gadloonoo ngarragi tharra baljoowa riwiya. I left my dog behind at home. Category: space.
baljoowanhingi  	[baljoowa-nhingi] nominal. last born child, youngest child. Ngirnadaji booga ngarragi baljoowanhingi. This child is my youngest child. Category: people.
balma  	[bal-ma] nominal. 1 • fork of a tree. Yoodba maa laandi balmaya grili. Put that meat up in the fork of the tree. Category: describers.
2 • small creek or gully and river junction. Lambardi balma thoorlngarni warlibirri nyamanyi nhing. Little creek was formed from a big river. Ques: both \ge and \xe need to be clearer Category: describers, check.
balnganyja  	[bal-ngany-ja] nominal. sulphur-crested cockatoo. Cacatua galerita. Category: birds.
balngarna  	[bal-ngarna] nominal. open, outside. Mirri bijngarni balngarna ngoomoorroo nhingi. The sun came outside from the clouds. See: birlgaj. Ques: Does this mean "in the open" (\ge) and in \xe should it say "the sun came out from behind the clouds" Category: space, check.
balngawoorndoo  	[balnga-woorn-doo] nominal. green tree frog. litoria caerulea. This large frog can be used as bait when fishing; it is not eaten by people. It is commonly seen in toilets and laundries and other areas that remain moist for long periods. Category: frogs.
baloo  	nominal. back bone, spine. Category: body parts and products.
baloob  	[ba-loob] verb. put out the fire. Yiwirndiga baloobjingi wayandi. The rain put out the fire.  [TC, ET] Category: actions.
balthag  	[bal-thag] verb. fall with a thud. Balngawoorndoo balthagbani bandaya. The green frog fell with a thud on the ground.  [TC, DS] Category: actions.
bambilyi  	[bam-bilyi] nominal. wild passionfruit. capparis lasiantha. Bambilyi doorlooggiri girili jiwirljidiya. The wild passionfruit grows on the bauhinia tree. Category: bush food.
bambira  	[bam-bira] nominal. western whitewood. Atalaya hemiglauca. Bambira jiga bagilari, migaya walwarranggaga yoodga gambinyi When the western whitewood has flowers, that's the time crocodile lay their eggs. We can collect and cook the eggs in the hot sand and eat them. The timber is used to make digging and fighting sticks. Category: trees.
banda  	nominal. ground, dirt, earth.  [TC, ET] Category: Land.
bandarranyi  	[banda-rranyi] nominal. brown. Category: colours.
bandiwandi  	[bandi-wandi] nominal. female pubic cover. Bandiwandi mirdbirra boonbooloo thirrwirnhingi, miyawoonhingi. They used to make pubic coverings from the fur (of animals), such as hill kangaroos and pussy cats. Category: artifacts.
bang  	verb. fall. Gambayi bangbani giriliyangga. The boy fell  from the tree. See: gard.  [TC, ET] Category: actions.
bangarnoo  	[bang-arnoo] nominal. black goanna with long tail and large spots. varanus scalaris. Note: [ not in GW data ] Category: lizards.
banggaj  	[bang-gaj] verb. hit, break off the end. Ques: does this mean "break by hitting the end on something"? Jaminyingga banggajbini girili jabi, ngalinyangarri. Grandfather broke the tip of a branch, with the honey in it. Category: actions, check.
banggaroo  	[bang-garoo] nominal. skillful hunter. Niyaji yoowooloo banggaroo yanga maayoo. That man is a very skillful hunter for hunting meat.  [TC] Category: people.
banggirndi  	[bang-girndi] nominal. rock fig. Ficus platypoda. This is a big tree that grows on the limestone country.  Fruit can be eaten when red-brown. Category: bush food.
banyangi  	[ba-nya-ngi] adverb. long way. Yoowooloo wardji banyangi yangga moonga maayoo. The man came from far away, looking for meat. See: gima. Category: space.
bar  	verb. climb up. Gooroogooroo barlanyi barwindi goordirdaya girili. The black snake climbed up the bush orange tree. Category: actions.
barawoo  	[bara-woo] nominal. female  river kangaroo (Agile wallaby). Macropus agilis. Yoowooloongga nyagbini barawoo wanyjirri. A man speared a female river kangaroo. Category: kangaroos.
bard  	verb. hammer. Ngoorndooga bardmi niyaji girili? Who hammered that stick? Ques: meaning not clear Category: actions.
barda  	nominal. candelabra wattle soap bush. Acacia colei. Leaves and pods rubbed in the hands with a little water make a soapy lather.  The seeds can be ground and eaten. Dry wood is used as firewood. Category: trees.
bardarndi  	[bardarn-di] nominal. strong surface, support. Yoodba ngirndaji nyamani langgagooloo baabirri bardarndi Put this big log underneath as a support. Category: home.
bardiji  	[bard-iji] nominal. pregnant. Category: people.
bardiri  	nominal. flower. Girili bambirangga warangga labawoo bardiri. The western whitewood tree has white flowers. See: jiga. Category: plants.
bari  	nominal. heel. Category: body parts and products.
barij  	verb. track something. Goornboo garndiwirringga barijbirrayoo wawanyi. The two women were tracking the goanna.  [TC, ET] Category: actions.
bariwari  	[bari-wari] nominal. skirt of beef or other animal. Internal body part near the heart, where the flesh hangs over the ribcage on both sides.  [RC] Category: food.
barla  	nominal. congealed blood, blood clot. Goornbooyoo thinga booboobmi barla ngarri. The woman's foot was swollen with congealed blood. Category: bodily functions.
barlabi  	[barla-bi] nominal. bush coconut. Barlabi bagiri mawoorrooya girili. Bush coconuts are found on the bloodwood tree. Category: bush food.
barlanyi  	[barla-nyi] nominal. general term for all snakes. Category: snakes.
barlarli  	[barl-arli] nominal. flat stone used as base grindstone. Joomboowa wirrwirra ngaarri barlarliya. They use to grind the joomboowa seed on a flat stone. See: goordoo; baljadi. Category: artifacts.
barlga  	[barl-ga] nominal. barramundi. Lates calcarifer. The smallest barramundi is jambirla and the biggest barramindi is jiwinyma. See: jambirla; jiwinyma. Category: fish.
barlij  	[bar-lij] nominal. body make-up. Category: posture.
barltha  	[barl-tha] nominal. shallow. Category: Land.
barlthirrarndi  	[barl-thirr-arndi] nominal. nardoo grass. Marsilea mutica. Category: plants.
barlwa  	[barl-wa] nominal. big floodwater. Barlwa nyamani barwindi. The big floodwater rose up. Category: Land.
barn  	verb. return. Ginyandi gambayi barnbindi Bayoorlooyirra. That boy returned to Bayulu. Category: actions.
barnanggarr  	[barnang-garr] verb. snatch something. Tharrangga barnangarrwini maa gambayi nhingi. The dog snatched the meat from the boy.  [TC, ET] Category: holding and transfer.
barnanyi  	[barna-nyi] nominal. old woman.  [TC] Category: people.
barndaj  	[barn-daj] verb. sneaking up. Yoowooloongga barndajnga thirrwi. The man was sneaking up on the hill kangaroo. Category: actions.
barndi  	[barn-di] nominal. arm (shoulder to wrist). Category: body parts and products.
barndig  	[barn-dig] verb. hang something out to dry. Goornbooga bandigbarri nhoo warrayoondoo giriliya. The woman hung her dress on the tree. Category: actions.
barndirani  	[barndi-rani] nominal. silver cadjeput, river paperbark. Melaleuca argentea. Traditional uses of bark: to make waterproof wet season shelters, rafts, small coolamons tied at both ends; as plates, a wrapping for fish or meat before cooking in a ground oven, blankets; to wrap the bones of the dead for storing in caves. Category: trees.
baroorroo  	[ba-roo-rroo] nominal. corroboree ground.  [TC, ET] Category: culture.
barrabarra  	[barra-barra] nominal. hot weather, first rain of the wet season. Ques: confirm \ge Barrabarra gamba banggilani birlnga loorngimi girilinhingi. When the first rain falls, it peels the bark off the trees. Category: elements : c.
barrangga  	[barrang-ga] nominal. summer, hot season. Gamba thigiwari warlibirriya, yaningi barrangga. The water is getting smaller at the river this hot season.  [TC] Category: elements.
barrayandi  	[barra-yandi] nominal. Australian bustard, big male bush turkey. Ardeotis australis. Category: birds.
barrgib  	[barr-gib] verb. slaughter. Yoowoolongga barrgibbini jiwilyoogoo maa. The man slaughtered the ducks for meat.  [TC, ET] Category: actions.
baward  	[ba-ward] verb. climb up together. Mawilyi bawardbinmi yamadiya. The children climbed up into the car. This verb can only be plural (non-singular). Category: actions.
bawooloo  	[ba-woo-loo] nominal. pigweed. Portulaca pilosa. The fine edible black seeds are called blayiwarri and are ground into flour. The taproot is roasted lightly. This small plant grows in the wet season and has pretty purple flowers. See: blayiwarri. Category: bush food.
bawoongoorroo  	[ba-woo-ngoo-rroo] nominal. powerful fighter who can't be beaten. Category: people.
bawoorda  	[ba-woorda] nominal. brown lizard (little one). many taxa. Category: lizards.
baya  	[ba-ya] nominal. stingray. Himantura chaophrya. Category: fish.
bayal  	verb. swim. Yoowarni yoowooloo bayalmi warramba nyamaniya. One man swam across the big flood water. Category: actions.
bida  	verb. get sicker, deteriorate. Gambayi bidami gambingarri. The boy got weaker because he was sick. Category: actions.
bidbidgi  	[bid-bid-gi] nominal. brown quail. coturnix ypsilophora. Category: birds.
bij  	verb. arrive, emerge. Yoowoolooyarndi bijbirrarni roowanhingi. The men arrived from the hunting trip. Ques: can this word refer to birth?  [TC, ET] Category: actions, check.
bija  	nominal. soft bedding. Category: home.
bilgaali  	[bil-gaali] adverb. middle of the night.  [FGG 155] Category: time.
biliga  	[bili-ga] nominal. middle, centre. Category: space.
biligangoornda  	[biliga-ngoornda] nominal. middle child. Ngirndaji booga biligangoornda, niyajiyoo goornboo. This is the middle child of that woman. Category: people.
bilij  	verb. to tell on somebody. Marlarangga bilijbarri ngarranyoowa ngaboowaya. The girl told her father about her mother.  [TC] Category: actions.
bilinyi  	[bili-nyi] nominal. animal tick. Ques: can this tick go on people? Category: insects and spiders, check.
bilirndi  	[bilirn-di] nominal. river red gum. Eucalyptus camaldulensis. Jaloogbirra gamba girili bilirndi ngarringga. They poison the water with the river red gum tree. The leaves are medicinal. They are boiled in water and the warm liquid is used to bathe sores; used in waterholes causing the fish to float to the surface; placed on the meat in a ground oven to improve flavour and keep the meat moist.  The tree provides sugarleaf and sugarbag.  [Broome and beyond 142, Mimbi species list] Category: trees.
bilji  	[bil-ji] nominal. red ochre. This is ground up and rubbed on boils to draw out pus. Also for painting at corroboree time. Category: colour.
bilygoorr  	[bily-goorr] verb. crack a skull. Goornbooga bilygoorrwini yoowooloo mirraya. The woman cracked the man on the head. Category: impact and violence.
bilyig  	[bi-lyig] verb. crack open. Gambinyi bangbani bandaya bilyigbani. The egg fell on the ground and cracked open. Category: impact and violence.
bina  	verb. show. Goornbooga binanga wirrangi gamba nyamani gawingarri. The woman was showing them the big waterhole with fish in it. Category: actions.
binangoorroo  	[bina-ngoo-rroo] nominal. know about many things. Ngirndaji boolga binangoorroo joonbayoo. This old man knows so much about the corroborree. Category: people.
binbindi  	[bin-bindi] nominal. sandstone. Ngarri binbindi garndoowa ngarragiya riwi. There is plenty of sandstone around my camp.  [SL]
binggily-  	[bing-gily] verb. split apart cooked animal meat. Binggilyma ngarragi biyirdi niyaji wawanyi. Split the leg of that goanna for me. Category: holding and transfer.
binyidi  	[biny-idi] nominal. strong, hard.  [WB, SL] Category: qualities.
binyjang  	[biny-jang] bivalent verb. chew on. Yoowooloongga binyjangnga maa. The man chewed on the meat.  [TC] Category: actions.
binyjawinyja  	[biny-ja-winy-ja] nominal. pearlshell.  [MQ, MS] Category: artifacts.
binyjirrmi  	[biny-jirr-mi] nominal. insect-eating bat. many taxa. Lives in hollow logs and caves, and feeds on insects.  [WB, Mimbi species list, Mammals 472,  changed by GW, NS,] Category: animals.
binyoonggoo  	[bi-nyoong-goo] nominal. children's python.  [SL, JS] Liasis childreni. Category: snakes.
bird  	bivalent verb. 1 • poison fish in small water hole. Goornbooga birdnga gawi yimarrarra ngarringga gambaya. The woman was poisoning the fish by dragging leaves through the water. Category: actions.
2 • rub sticks together to start a fire. Yoowooloongga birdbirdnga goonggala girili wayandi jardiwoo. The man rubbed  goonggala sticks together to start a fire..  [TC, DS] Category: actions.
biriny  	[bi-riny] nominal. restless flycatcher. Myiagra inquieta.  [S&D 232, GW, TC, RC] Category: birds.
birinygoonyoo  	[biriny-goo-nyoo] nominal. crab's eye bean. Abrus precatorius. The shiny red and black seeds of this plant are used to make necklaces.  [Broome and beyond 151] Category: plants.
biriwiri  	[biri-wiri]  Terminalia bursarina. nominal. 1 • bendee tree.
2 • edible gum from the bendee tree. This tree grows in river beds and has soft, edible gum.  It is often bent downstream by the force of floodwater.  [Plants of the Kimberley 235, WB] Category: trees.
biriyandi  	[biri-yandi] nominal. gift in return. Gift given because of relationship or in return for favour. Marlarangga nganggindi maa, biriyandi nganyingga ngangli manyi. The girl gave me meat, in return I gave her food.  [SL, FGG 461] Category: artifacts.
birla  	Ipomoea costata. nominal. yam, bush potato. Most common in sandhill country.  These large yams may be long and narrow or short and round.  They used to be an important food and can be eaten at any time of the year. They are roasted in hot sand and ashes or cooked in a ground oven. A short leafed variety of goonthoorrngarri.  [WK, CN] See: goonthoorrngarri. Category: bush food.
birlaj  	monovalent verb. follow. Yoowooloo wardji wilangajarri barijnga wawanyi, goornboo birlajji baljoowa. The man went along in front tracking the goanna, the woman followed behind.  [TC] Category: actions.
birlany  	[bir-lany] monovalent verb. shining. Ngarrali birlanybirlanyji gambaya. The pebble was shining in the water.  [MS] Category: describers.
birlga  	[birl-ga] verb. peep. Gambayi birlgawani girriliyangga. Category: actions.
birlgaj  	[birl-gaj] monovalent verb. uncover, open. Birlgajma niyaji ngarri bandanhingi. Lift up that stone from the ground. See: balngarna. Ques: \ge doesn't match \xe  [TC, NC] Category: actions, check.
birlgirrinygirriny  	[birl-girriny-girriny] nominal. red-kneed dotterel. Erythrogonys cinctus.  [S&D 92, SL, RC, TC] Category: birds.
birlib  	[birl-ib] verb. slip. Gambayiga gawi doowoonga, niyajinhingi birlibmi. The boy caught a fish, then it slipped away from him.  [TC] Category: actions.
birliji  	[birli-ji] nominal. bald (no hair).  [LC] Category: body parts and products.
birlirri  	[birl-irri] nominal. spirit (of a person ).  [TC] Category: people.
birlirrij-  	[birl-irrij] verb.  mudlark song associated with the Ngarranggarni diyadiya story. Ngamoo ngarranggarni diyadiya birlirriji laandi ngarriya nhoowooya riwi. Long ago in the Dreamtime a mudlark was singing on top of the hill which was her home.  [TC] Category: birds.
birlnga  	[birl-nga] nominal. 1 • bark from a tree. Category: plants.
2 • brown grasshopper with blue under wings used as a bait for fish. Category: insects and spiders.
birndirri  	[birn-dirri] nominal. open plain. Ngirndaji riwi bagiyi ngamoo birndirri. Yaningi gilirni, girili garndoowa bijgoowarni. This country was an open plain before. Now there is plenty of grass and trees appearing. See: galanganyja; gawarndi. Category: space.
birninybali  	[birniny-bali] nominal. spinifex wax. Birninybali yoodgoorra mirraya joogoo lambardiya. The spinifex wax is used to put on babies' heads. Ques: Why is it put on babies heads? The spinifex wax was also used in making spears and spear throwers.  [JS, MS] Category: plants.
birrabirra  	[birra-birra] verb. move in different directions. Jirigi garndoowa birrabirrawinmi ngirndaji nhingi girili. A lot of birds all took off from this tree. This verb can only be plural (non-singularr).  [TC] Category: actions.
birri  	nominal. coals, charcoal.  [MQ] Category: cooking and fire.
birrib  	verb. close, shut, block. Gaali boorloomaniyoo birribbidi nhi. They blocked the bullock pad. [TC, DS, McGregor 27970] Category: actions.
birrinyi  	[birri-nyi] nominal. sky.  [MQ] Category: space.
birrinyiwooloo  	[birri-nyi-woo-loo] nominal. hornet.  [PM, RC, FGG 456] Category: insects and spiders.
birrngirl  	[birr-ngirl] verb. be offended. Yoowooloo birrngirlmi yiganyi yingjawirra. The man was offended when they were secretly blaming him.  [TC, DS] Category: describers.
biyari  	[bi-yari] adverb. nearby, closeby. Category: space.
biyarn  	[bi-yarn] verb. open, take covering off. Gilirni biyarnba wawanyi  bagimari. Take the grass off , there might be a goanna there.  [TC] Category: actions.
biyidi  	[bi-yidi] basic pronoun. they, them. Category: pronouns.
biyigbiyig  	[biyig-biyig] nominal. yellow-throated miner. Manorina flavigula.  [SL, NS, Mimbi species list, GW] Category: birds.
biyirdi  	[bi-yirdi] nominal. thigh.  [MQ] Category: body parts and products.
biyirnbiyirn  	[biyirn-biyirn] nominal. black-faced woodswallow. Artamus cinereus. Category: birds.
biyirndi  	[bi-yirndi] nominal. insect grubs. general term for all insects. Ques: should the \ge read: "general term for all insects and grubs"?  [WK] Category: insects and spiders.
biyirri  	[bi-yirri] adverb. Northern side.  [WB] Category: directions.
biyirribinyi  	[bi-yirri-bi-nyi] adverb. lying along the northern side.  [WB] Category: directions.
blayiwarri  	[blay-warri] nominal. seeds from pigweed. See: bawooloo.  [RC, SL] Category: bush food.
booboob-  	ambivalent verb. swell up. Marla ngarragi booboobmi miyooroo ngarri. My hand is swollen with a boil.  [TC] Category: bodily functions.
bood  	ambivalent verb. dig out. Wanggiriga moorloo boodngarni ngawoornga booloomani. The crow dug out the eyes of the dead bullock.  [TC] Category: impact and violence.
boodawooda-  	[booda-wooda] monovalent verb. billow (e.g. dust). Joordoo boodawoodari yamadinhingi ngoorroo gima. Dust is billowing up from a car over there in the far distance.  [MS] Category: actions.
booga  	nominal. child, toddler.  [RC] Category: people.
boogalangi  	[booga-langi] nominal. poor fellow, poor thing.  [MQ, LC] Category: people.
boogoo  	[boo-goo] nominal. don't know. Nganyi boogoo niyajiyoo riwi. I don't know that place. Category: describers.
booj  	verb. light, ignite. See: jard. Nginyjiga boojba wayandi! You light the fire! Category: actions.
booladi-  	[boo-ladi] verb. dry up, dry out. Gilirni booladiwindi gambayila. The grass dried up from lack of water.  [TC] Category: actions.
boolba  	[bool-ba] nominal. things, possessions, belongings. Nganyingga doowooyawila ngarragi boolba Bayoorloo nhingi. I will pick up my things from Bayulu. Category: artifacts.
boolbool  	[bool-bool] ambivalent verb. cover up. Yoowooloongga boolboolyingi maa yimarrarra ngarringga. The man covered  up the meat with leaves.  [TC] Category: holding and transfer.
boolgooboolgooroo  	[bool-goo-bool-gooroo] nominal. bar-shouldered dove. Geopelia humeralis.  [RC, S&D 126] Category: birds.
booloonyoo  	[boo-loo-nyoo] nominal. fog, mist. Marlami milala ngarri nyamani, booloonyoongga boolboolwini. I can't see the big hill; it's covered by fog. Category: elements.
boombarangi  	[boomba-rangi] nominal. big green caterpillar with big eyes. fish bait (used to be eaten). Category: insects and spiders.
boonba  	[boon-ba] nominal. white gum. Eucalyptus grandifolia. Sugarbag is often found in this tree. The white bark is burnt to make ashes to add to chewing tobacco.  [SL, JS, Plants of the Kimberley 189/Glen Whiteman 2003] Category: trees.
boonbooloo  	[boon-boo-loo] nominal. fur. Tharra ngarragi boonbooloo marlami. My dog has no fur. Ques: Is fur the same as hair?  [TC, FGG 364] Category: dogs, check.
boong  	verb. kiss. Marniwangga boongjingi lambardi gambayi. The big sister kissed the little boy. Category: actions.
boongali  	[boon-gali] nominal. woman's grandson's wife. Niyaji goornboo ngarragi boongali, jaja ngarragiyoo garingi. That woman is my granddaughter-in-law, my grandson's wife. Category: relations.
boongaliwa  	[boon-gali-wa] nominal. woman's granddaughter-in-law. Ngarragi garingi boongaliwa ngarragiyoo jaja. My wife is granddaughter-in-law to my granny. Category: relations.
boongaliwadi  	[boon-gali-wadi] nominal. your grandson's wife. Niyaji goornboo boongaliwadimi? That woman is she your granddaughter-in-law? Category: relations.
boongaliyarrangi  	[boon-gali-yarra-ngi] nominal. our grandson's wife. Ngirndaji goornboo boongaliyarrangi, yarrangiyoo jaja garingi. This woman is our granddaughter-in-law our grandson's wife. Category: relations.
boongga  	[boong-ga] nominal. round yam. vigna lanceolata. The round yams are dug up out of the ground and roasted on hot coals. They are best in the cold weather.  [WK] Category: bush food.
boonyboony  	[boony-boony] nominal. mouse. various taxa. Refers to both the native species and the introduced house mouse.  [JS, Mimbi species list] Category: animals.
boonyjoo  	[boony-joo] nominal. big shady tree. Lophostemon grandiflorus. This large shade tree grows in river beds.  It is used as firewood. It has been identified at one of the entries to Mimbi caves and in many watercourses.  [LC, NC, TC, Flora of the Kimberley 533/Glenn Whiteman] Category: trees.
boord  	bivalent verb. spill, pour. Gambayiga boordbarri gamba bardi nhingi. The boy spilled the water from the cup.  [MS] Category: holding and transfer.
boordbara  	[boord-bara] nominal. hot weather. Joowardi bijgoowarningarra boordbara bagingiri. Sweat coming on me  I'm hot. Ques: consistency? \ge doesn't match \xe  [FGG] Category: elements, check.
boorloobi  	[boorloo-bi] bivalent verb. follow. Nganyingga boorloobirla wawanyiyoo thinga. I was followng the goanna track.  [TC] Category: motion.
boorloomani  	[boorlo-mani] nominal. ox, cow, bull, bullock, cattle. Bos taurus. This word can be singular or plural.  [WB] Category: introduced animals.  [02/Apr/2010]
boorlthoog  	[boorl-thoog] ambivalent verb. burst. Miyooroo boorlthoogbindi ngarragi thingaya. The boil burst on my foot.  [TC, NC] Category: impact and violence.
